,distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,Fuel_Price,Journey_Price
74,11.6,5.0,25,21.5,6,SP98,0,0,0,1.46,0.85
75,14.2,5.4,38,21.5,7,SP98,0,0,0,1.46,1.12
76,11.8,4.5,39,21.5,6,SP98,0,0,0,1.46,0.78
77,24.8,5.1,50,21.5,9,SP98,0,0,0,1.46,1.85
78,12.4,4.7,56,21.5,7,SP98,0,0,0,1.46,0.85
79,34.8,4.0,28,20.0,4,SP98,0,0,0,1.46,2.03
80,14.2,5.4,36,20.0,6,SP98,0,0,0,1.46,1.12
81,5.2,4.5,39,20.0,10,SP98,0,0,0,1.46,0.34
82,10.5,3.6,42,20.0,10,SP98,0,0,0,1.46,0.55
83,12.3,5.2,57,20.0,10,SP98,0,0,0,1.46,0.93
84,11.8,4.9,25,20.0,11,SP98,0,0,0,1.46,0.84
85,12.3,6.2,58,20.0,11,SP98,0,1,0,1.46,1.11
86,13.2,4.3,51,20.0,11,SP98,0,1,0,1.46,0.83
87,13.0,5.0,45,20.0,11,SP98,0,1,0,1.46,0.95
88,12.9,5.1,32,20.0,11,SP98,0,0,0,1.46,0.96
89,13.9,5.6,22,20.0,8,SP98,0,0,0,1.46,1.14
90,11.8,4.3,37,20.0,6,SP98,0,0,0,1.46,0.74
91,12.2,5.8,60,20.0,11,SP98,0,0,0,1.46,1.03
92,12.5,4.0,51,20.0,13,SP98,0,0,0,1.46,0.73
94,11.8,5.9,21,20.0,9,SP98,1,1,0,1.46,1.02
96,12.5,4.2,57,20.0,11,SP98,0,0,0,1.46,0.77
101,26.2,5.8,71,21.0,8,SP98,1,1,0,1.46,2.22
103,4.9,6.9,25,21.0,12,SP98,0,1,0,1.46,0.49
104,12.4,5.4,18,21.0,11,SP98,1,1,0,1.46,0.98
105,22.9,5.3,45,20.5,7,SP98,0,0,0,1.46,1.77
106,162.7,5.5,75,23.0,1,SP98,0,0,0,1.46,13.06
107,4.9,6.5,26,21.0,1,SP98,0,0,0,1.46,0.47
108,11.8,4.7,36,21.0,4,SP98,0,0,0,1.46,0.81
109,16.6,5.1,56,21.0,7,SP98,0,0,0,1.46,1.24
110,12.4,5.7,37,21.0,7,SP98,0,0,0,1.46,1.03
111,15.9,5.4,25,21.0,7,SP98,0,0,0,1.46,1.25
112,5.1,8.7,21,23.5,5,SP98,0,0,0,1.46,0.65
113,22.4,4.9,66,20.5,7,SP98,0,0,0,1.46,1.6
114,31.1,4.7,42,20.5,7,SP98,0,0,0,1.46,2.13
115,4.9,6.3,27,20.5,3,SP98,0,0,0,1.46,0.45
116,11.8,5.1,26,23.0,4,SP98,0,1,0,1.46,0.88
117,22.9,6.0,42,23.0,4,SP98,0,1,0,1.46,2.01
118,12.4,4.6,38,23.0,1,SP98,0,1,0,1.46,0.83
119,12.9,5.8,40,23.0,4,SP98,0,0,0,1.46,1.09
120,11.8,5.1,43,23.0,0,SP98,0,0,0,1.46,0.88
121,12.2,5.8,58,23.0,2,SP98,0,0,0,1.46,1.03
122,24.8,4.6,55,23.0,3,SP98,0,0,0,1.46,1.67
123,14.2,5.6,24,23.0,8,SP98,0,0,0,1.46,1.16
124,11.8,4.6,38,23.0,0,SP98,0,1,0,1.46,0.79
125,12.2,6.3,57,23.0,0,SP98,0,1,0,1.46,1.12
126,24.7,5.5,56,25.0,1,SP98,0,0,0,1.46,1.98
127,6.8,4.3,46,24.0,2,SP98,0,0,0,1.46,0.43
128,17.3,5.6,37,21.5,1,SP98,0,0,0,1.46,1.41
129,11.8,4.3,44,21.5,-3,SP98,0,0,0,1.46,0.74
130,15.9,5.7,46,21.5,5,SP98,0,0,0,1.46,1.32
131,5.1,6.4,39,21.5,4,SP98,0,0,0,1.46,0.48
132,16.1,4.5,33,21.5,6,SP98,0,0,0,1.46,1.06
133,11.8,4.5,43,21.5,3,SP98,0,0,0,1.46,0.78
134,4.2,6.0,26,21.5,5,SP98,0,0,0,1.46,0.37
135,17.4,5.1,30,21.5,5,SP98,0,0,0,1.46,1.3
136,23.5,6.0,25,21.5,5,SP98,0,1,0,1.46,2.06
137,11.8,4.5,38,21.5,5,SP98,0,1,0,1.46,0.78
138,12.3,6.1,61,21.5,10,SP98,0,1,0,1.46,1.1
139,16.1,5.4,24,21.5,7,E10,0,1,0,1.38,1.2
140,11.8,4.3,40,21.5,10,E10,0,1,0,1.38,0.7
141,12.3,5.4,58,21.5,13,E10,0,0,0,1.38,0.92
142,12.4,4.3,49,21.5,17,E10,0,0,0,1.38,0.74
143,7.0,5.2,25,21.5,17,E10,0,0,0,1.38,0.5
144,11.8,4.1,37,21.5,10,E10,0,0,0,1.38,0.67
145,20.1,4.4,41,21.5,18,E10,0,0,0,1.38,1.22
146,20.8,4.5,45,21.5,10,E10,0,0,0,1.38,1.29
147,1.7,10.8,14,21.5,10,E10,0,1,0,1.38,0.25
148,35.9,4.7,45,21.5,12,E10,0,0,0,1.38,2.33
149,36.9,4.8,52,21.5,5,E10,0,0,0,1.38,2.44
150,16.8,4.0,46,21.5,8,E10,0,0,0,1.38,0.93
151,9.9,5.0,28,21.5,9,E10,0,0,0,1.38,0.68
152,22.9,4.6,61,21.5,7,E10,0,1,0,1.38,1.45
153,17.3,5.0,61,21.5,6,E10,1,1,0,1.38,1.19
154,11.8,4.3,37,21.5,7,E10,0,0,0,1.38,0.7
155,36.6,5.2,80,21.5,7,E10,0,1,0,1.38,2.63
156,44.9,4.7,62,21.5,8,E10,0,0,0,1.38,2.91
157,11.8,4.2,34,21.5,9,E10,0,1,0,1.38,0.68
158,21.6,5.3,44,21.5,9,E10,0,1,0,1.38,1.58
159,39.4,5.3,60,21.5,9,E10,0,1,0,1.38,2.88
160,5.1,8.1,39,21.5,4,E10,0,0,0,1.38,0.57
161,26.6,4.8,38,21.5,7,E10,0,0,0,1.38,1.76
162,53.2,5.1,71,21.5,2,E10,0,0,0,1.38,3.74
163,18.9,4.4,53,21.5,2,E10,0,0,0,1.38,1.15
164,43.5,5.0,80,21.5,3,E10,0,0,0,1.38,3.0
165,6.1,6.3,26,21.5,5,E10,0,0,0,1.38,0.53
166,16.4,4.8,49,21.5,5,E10,0,0,0,1.38,1.09
167,12.3,6.1,40,21.5,6,E10,0,0,0,1.38,1.04
168,21.1,4.6,36,21.5,8,E10,0,0,0,1.38,1.34
169,21.1,4.8,43,21.5,7,E10,0,0,0,1.38,1.4
170,22.7,4.7,55,21.5,6,E10,0,0,0,1.38,1.47
171,44.4,4.8,38,21.5,8,E10,0,0,0,1.38,2.94
172,35.8,4.4,51,21.5,6,E10,0,0,0,1.38,2.17
